Item,Location,Price
"ProView 15"" LCD Monitor", Clinton,20
Lenovo Desktop with Monitor for Sale (TS200v), Rockville,300
Dell Flat Screen monitor, Bethesda,10
"Mac Mini 2009 and 23"" apple cinema hd display monitor"," Del Ray, Alexandria",175
"27"" LED Samsung S27360D", DC,50
"Dell 2208WFPT Widescreen 22"" LCD Monitor Silver Adjustable Height"," Reston, VA",80
"24"" Acer G246HL Monitor", 3rd St NE & East Capitol Street NE,50
Data Switch box for monitor printer serial parallel ports, Fairfax,5
"Olevia Syntax 32"" TV / Monitor", Rockville/Potomac,100
HP Integrated Work Center Stand GN783AT, Bethesda,25
"Optiplex #1 Gaming Computer, i5 quad cpu, 16GB RAM, 1TB WD Black,RX460", Silver Spring,370
"Computer LCD monitors 22"" HP and 22"" Dell", Silver Spring,65
Desktop Keyboard Manager,,15
Lenovo ThinkPad Battery 29+ extended life battery, DC,25
Lenovo ThinkPad One Link Pro Dock, DC,50
Tera Grand Mini Displayport to DVI Adapter," Alexandria, VA",10
[Like New] Ultrawide Acer CZ340CK 75Hz Curved Gaming Monitor," Lorton, VA",399
"Vintage CRT Computer Monitors Excellent Color, Picture", Laurel,25
New WanntyWi-Fi Gaming Computer i5-8400 16GB Ram RX 580 8GB SSD+HDD, Springfield.,700
GATEWAY Computer m/n: MFATXPNT ESX 500X Complete ATX Case," Laurel, MD",50
"Vintage SGI SUN DEC HP 19"" CRT Computer Monitors", Laurel,25
New in Box Apple Branded Mini DisplayPort to VGA Adapter, Herndon,2
What is Software? Software is a set of instructions for a computer to,,5676487
Monitor Desk Mount Vivo single clamp adjustable mount, Manassas Park,20
Gaming PC + 1440p Monitor,,750
Benq 27 inch gaming monitor RL2755,,180
Dell dual monitor stand, Alexandria / North Old Town,50
"17"" - 27"" Monitor Arm",,18
"Optiplex #1 Gaming Computer, i5 quad cpu, 16GB RAM, 1TB WDBlack, RX460", Silver spring,370
Samsung computer screen 23.6 ” S24B30BL," Silver Spring, MD",10
"Two computer monitors, cheap", 17th St NW and U St NW,5
Rolling Computer Desk - NOVA Professional Rolling Desk, Davidsonville,100
HP EliteDisplay E231i 23-Inch Screen LED-Lit Desktop Monitor, 2303 14th street nw,90
Complete Dell OptiPlex 3010 Computer System Windows 10 Pro - Redytech, Gaithersburg,120
Complete Set HP Compaq 6005 Pro Computer System Windows 10 - Redytech, Gaithersburg,100
Complete Dell OptiPlex 780 Computer System Windows 10 Pro - Redytech, Gaithersburg,90
Complete Dell OptiPlex 960 Computer System Windows 10 Pro - Redytech, Gaithersburg,90
Complete Dell OptiPlex 755 Computer System Windows 10 Pro - Redytech, Gaithersburg,80
24 inch 1080P ASUS VH242H Monitor, Leesburg,35
"Monitor 26"" LCD Westinghouse SK-26H735S 26"" 720p HD+TV Works Great", CENTREVILLE,25
"Dell UltraSharp 2005FPW LCD 20"" Monitor DVI VGA", ASHBURN,45
"Dell monitor 19""",,10
"SAMSUNG 2253BW Black 22"" 2ms(GTG) DVI Widescreen LCD Monitor ", Fairfax,80
"Samsung 2443BWX 24"" Full HD (1920 x 1080) LCD monitor",,80
ViewSonic Monitor VP230 MD,,25
"Optiplex #1 Gaming Computer, i5 quad cpu, 16GB RAM, 1TB WD Black,RX460", Silver Spring,370
22” dell monitor dvi/vga/hdmi, Manassas,85
Core i3 PC Gaming bundle w/monitor, MANASSAs,199
Dell 17 Inch Monitor, Manassas,20
Dual Core Desktop Computer upgraded and new parts, Gaithersburg / Damascus,125
"Very basic Desktop computer, dual core CPU", Gaithersburg / Damascus,25
Acer H226HQL Dual Monitors, Vienna,70
Samsung 19” widescreen monitor w/ Ergotron articulating stand," Reston, VA",50
Monitor," Ballston, Arlington",60
MSI AMD Radeon R9 270X Gaming 2GB GDDR5 2DVI/HDMI/DisplayPort PCI-Expr, Alexandria,140
15inch Sony Monitor,,40
Lenovo Thinkpad Docking Station (new in box), DC,50
"Optiplex #1 Gaming Computer, i5 quad cpu, 16GB RAM, 1TB WDBlack, RX460", Silver spring,370
Stand for Monitor," College Park, MD",5
Lenovo Thinkpad Ultrabase w/ DVD w/keys for x200 /x201 docking station," Alexandria, VA",20
Lenovo Thinkpad Ultrabase w/ DVD w/keys for x200 /x201 docking station," Alexandria, VA",20
Dell 1080p Monitor,,55
Dell 22 inch monitor e2210hc, Falls church,60
IO Gear KVM Switch Computer, Falls church,10
"HP ZR30w Black 30"" 7ms S-IPS LCD Monitor"," Falls Church, VA",290
LG Electronics 27EA83R-D 27-Inch Screen LCD Monitor," Falls Church, VA",160
Dell Optiplex 960 Slimline Computer 4GB RAM, MacArthur Blvd & Arizona Ave,75
SEAGATE ST500LM000 SSHD 500GB 5400RPM 64MB SATA 6.0Gb/s 2.5 Solid Stat," alex,va",100
DELLl s2419nx ips led monitor, WASHINGTON,175
Envision G218a1 22 inch monitor, Reston,5
"Two Dell Monitor Stands, Each $29, Both $40", Columbia,29
"Samsung 2033SW 20"" LCD monitor",,25
"Excellent Condition Samsung 22"" LCD monitor",,35
Apple Mini DisplayPort to VGA Video adaptor," Herndon, VA",15
"2 x LCD 18,5"" SPECTRE X195W-Naga screens", Rockville,110
